Thread Count,Run Type,Execution Time (ms),Is Sorted
1,Single-threaded,9926,true
1,Concurrent,2366,true
1,Single-threaded,8710,true
1,Concurrent,2372,true
1,Single-threaded,8886,true
1,Concurrent,2286,true
1,Single-threaded,9027,true
1,Concurrent,2253,true
1,Single-threaded,8835,true
1,Concurrent,2703,true
2,Single-threaded,9693,true
2,Concurrent,1210,true
2,Single-threaded,8862,true
2,Concurrent,1250,true
2,Single-threaded,9102,true
2,Concurrent,1186,true
2,Single-threaded,8322,true
2,Concurrent,1191,true
2,Single-threaded,8838,true
2,Concurrent,1315,true
4,Single-threaded,9484,true
4,Concurrent,993,true
4,Single-threaded,8485,true
4,Concurrent,871,true
4,Single-threaded,8749,true
4,Concurrent,817,true
4,Single-threaded,10888,true
4,Concurrent,922,true
4,Single-threaded,10461,true
4,Concurrent,878,true
8,Single-threaded,9120,true
8,Concurrent,701,true
8,Single-threaded,8810,true
8,Concurrent,880,true
8,Single-threaded,8569,true
8,Concurrent,650,true
8,Single-threaded,10098,true
8,Concurrent,582,true
8,Single-threaded,9118,true
8,Concurrent,552,true
16,Single-threaded,8507,true
16,Concurrent,646,true
16,Single-threaded,8642,true
16,Concurrent,993,true
16,Single-threaded,9090,true
16,Concurrent,593,true
16,Single-threaded,8085,true
16,Concurrent,624,true
16,Single-threaded,9832,true
16,Concurrent,892,true
32,Single-threaded,9249,true
32,Concurrent,727,true
32,Single-threaded,8649,true
32,Concurrent,652,true
32,Single-threaded,9634,true
32,Concurrent,892,true
32,Single-threaded,9011,true
32,Concurrent,830,true
32,Single-threaded,8669,true
32,Concurrent,596,true
64,Single-threaded,8351,true
64,Concurrent,691,true
64,Single-threaded,9038,true
64,Concurrent,572,true
64,Single-threaded,9287,true
64,Concurrent,565,true
64,Single-threaded,9664,true
64,Concurrent,591,true
64,Single-threaded,9299,true
64,Concurrent,580,true
128,Single-threaded,8965,true
128,Concurrent,627,true
128,Single-threaded,8636,true
128,Concurrent,594,true
128,Single-threaded,8658,true
128,Concurrent,705,true
128,Single-threaded,9516,true
128,Concurrent,581,true
128,Single-threaded,9575,true
128,Concurrent,600,true
256,Single-threaded,8604,true
256,Concurrent,605,true
256,Single-threaded,8234,true
256,Concurrent,857,true
256,Single-threaded,10266,true
256,Concurrent,640,true
256,Single-threaded,8781,true
256,Concurrent,645,true
256,Single-threaded,9283,true
256,Concurrent,637,true
512,Single-threaded,8952,true
512,Concurrent,984,true
512,Single-threaded,8603,true
512,Concurrent,1741,true
512,Single-threaded,9472,true
512,Concurrent,699,true
512,Single-threaded,9755,true
512,Concurrent,898,true
512,Single-threaded,8770,true
512,Concurrent,1155,true
1024,Single-threaded,9223,true
1024,Concurrent,2429,true
1024,Single-threaded,9346,true
1024,Concurrent,2579,true
1024,Single-threaded,9218,true
1024,Concurrent,2717,true
1024,Single-threaded,10046,true
1024,Concurrent,2450,true
1024,Single-threaded,9407,true
1024,Concurrent,3235,true
